Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
Kelsey White,corynewman@example.org,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",02-02-2024 14:35,Brittany Richardson,EMP995,69,001-549-827-6901x8349,Neutral,HR,21,5,Active,$468,10,Vegetarian,Suite,Golf,Massage,Luxury
Lawrence Jackson,uking@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",26-01-2024 11:50,Ms. Tracy Brewer,EMP362,58,(851)828-5542x85337,Negative,Sales,6,5,Inactive,$445,1,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
James Garrison,brittanygonzalez@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",13-11-2024 11:14,William Lester,EMP326,44,+1-290-889-3062x086,Positive,HR,28,10,Active,$149,4,Vegetarian,Standard,Swimming,Sauna,Frugal
Joshua Hampton Jr.,vrice@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",30-08-2024 09:19,Kylie Joseph,EMP719,53,001-326-974-3495x37201,Neutral,Finance,17,8,Inactive,$232,4,Vegan,Standard,Golf,Massage,Frugal
Patricia Jackson,miguel66@example.com,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",13-03-2024 01:01,Daniel Tran,EMP778,46,001-446-848-9317x5304,Negative,Support,30,2,Inactive,$352,7,Vegetarian,Standard,Swimming,Sauna,Luxury
Yesenia Castillo,qbutler@example.com,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",07-09-2024 22:43,Mike Wilson,EMP687,43,001-518-969-1883x492,Neutral,Engineering,29,0,Active,$74,8,Non-Vegetarian,Standard,Swimming,Gym,Luxury
Randy Ibarra,juanguzman@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",09-09-2024 07:48,Kelly Wallace,EMP870,47,3368388057,Neutral,Finance,21,7,Active,$106,6,Vegan,Deluxe,Golf,Sauna,Luxury
Mr. Timothy Christensen,amber43@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",22-01-2024 12:14,Anthony Montgomery,EMP580,59,2902014092,Neutral,Support,5,2,Inactive,$276,6,Vegan,Standard,Swimming,Massage,Frugal
Michelle Acosta,christina44@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",24-10-2024 02:58,Natalie Myers,EMP115,66,929.252.2625,Positive,Sales,2,7,Active,$486,9,Vegetarian,Deluxe,Swimming,Gym,Frugal
Heidi Ray,gomeztiffany@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",14-02-2024 15:49,Aaron Glenn,EMP401,70,919-384-2308x3996,Negative,HR,23,5,Active,$346,8,Vegetarian,Suite,Swimming,Massage,Frugal
Eric Huffman,wstevens@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",30-01-2024 23:12,Breanna Mcdonald,EMP809,48,4045848903,Neutral,Support,26,7,Inactive,$153,4,Vegetarian,Standard,Table tennis,Sauna,Luxury
Lori Fischer,ocarpenter@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",01-09-2024 13:33,Veronica Olson,EMP981,35,6767631666,Negative,Finance,10,9,Inactive,$135,8,Non-Vegetarian,Deluxe,Golf,Sauna,Luxury
Laura Dixon,lejennifer@example.net,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",25-02-2024 11:16,John Jefferson,EMP759,61,990.746.7803x106,Positive,Support,4,8,Inactive,$118,3,Vegetarian,Deluxe,Golf,Massage,Frugal
Kevin Parsons,jsilva@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",18-09-2024 16:56,Danny Bentley,EMP982,66,-1890,Neutral,Engineering,13,3,Active,$372,5,Vegan,Standard,Badminton,Gym,Luxury
Norman Brooks,tbrown@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",06-04-2024 21:08,Andrew Lewis,EMP510,67,(711)206-7419x25482,Neutral,Finance,27,6,Active,$419,8,Vegan,Suite,Badminton,Sauna,Frugal
Emma Mitchell,conniehall@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",17-08-2024 07:37,Francis Walters,EMP846,30,(403)557-4554,Negative,HR,8,7,Inactive,$384,10,Non-Vegetarian,Standard,Golf,Massage,Luxury
Alejandro Taylor,mariasoto@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",08-06-2024 02:04,Janice Russell,EMP729,48,(470)933-3618x98448,Negative,Finance,12,5,Active,$487,7,Non-Vegetarian,Standard,Golf,Gym,Frugal
Austin Alexander,nancymcbride@example.net,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",22-03-2024 05:39,Jill Cole,EMP741,37,613.605.6829x063,Positive,Sales,8,2,Inactive,$302,5,Vegan,Suite,Table tennis,Sauna,Luxury
Amber Martin,stantondavid@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",28-11-2024 08:49,Karen Williams,EMP885,40,231.780.6629,Neutral,Support,8,8,Inactive,$106,1,Vegan,Standard,Table tennis,Sauna,Frugal
James Garcia,keithmunoz@example.net,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",29-07-2024 13:00,Jessica Ortiz,EMP271,59,(297)574-5394x37709,Positive,HR,20,1,Active,$279,8,Vegan,Standard,Badminton,Sauna,Frugal
Tracy Ball,fjones@example.net,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",02-03-2024 01:00,Rebecca Silva,EMP278,30,769.919.6964,Negative,Sales,20,5,Inactive,$219,5,Non-Vegetarian,Standard,Badminton,Sauna,Luxury
Steven Cunningham,kclark@example.net,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",18-02-2024 15:04,Benjamin Brock,EMP499,32,770-839-2713,Neutral,Engineering,3,7,Inactive,$492,2,Vegetarian,Suite,Badminton,Gym,Frugal
Jeffrey Osborne,jenniferross@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",07-05-2024 14:21,James Cunningham,EMP674,23,274-677-4960x98681,Negative,Sales,1,8,Inactive,$151,10,Vegetarian,Suite,Badminton,Massage,Luxury
Russell Deleon,ystokes@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",12-08-2024 01:46,Christopher Lynch,EMP407,22,972.901.4644x27127,Negative,Finance,6,8,Active,$413,8,Non-Vegetarian,Suite,Badminton,Gym,Luxury
Melanie Zimmerman,agonzales@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",05-04-2024 14:32,Joseph Patel,EMP335,33,+1-799-288-4196x380,Negative,Sales,28,7,Inactive,$479,7,Vegan,Suite,Table tennis,Sauna,Luxury
Candice Smith,david18@example.net,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",11-05-2024 14:07,Alfred Jones,EMP929,37,(694)223-9224x69184,Negative,HR,3,6,Inactive,$489,9,Non-Vegetarian,Standard,Table tennis,Massage,Frugal
Kyle Holden,browneric@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",16-12-2024 01:26,Raymond Davila,EMP606,27,(846)546-5421,Neutral,Engineering,13,6,Active,$417,3,Non-Vegetarian,Standard,Golf,Sauna,Frugal
Kara Brown,michaelturner@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",05-06-2024 22:47,Claire Brown,EMP800,31,525-963-0726x424,Positive,HR,8,6,Active,$272,3,Vegan,Suite,Badminton,Gym,Luxury
Adam Knight,kyle94@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",24-03-2024 11:25,Alexandria Peck,EMP724,31,966.982.7126x380,Neutral,HR,9,8,Inactive,$252,5,Vegan,Deluxe,Table tennis,Massage,Luxury
Jonathan Lee DVM,dallen@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",13-12-2024 11:27,Donna Gould,EMP620,28,941.457.3038x1263,Negative,Engineering,23,3,Active,$67,8,Vegan,Deluxe,Badminton,Sauna,Frugal
Nathan Martin,ostafford@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",16-05-2024 21:45,Charles Boyle,EMP280,24,+1-491-720-2819x959,Negative,Support,3,10,Active,$140,6,Vegan,Suite,Table tennis,Massage,Luxury
Terry Richardson,stacey63@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",26-03-2024 07:53,Connie Caldwell,EMP727,61,001-527-446-5985x35596,Positive,Support,24,6,Inactive,$313,3,Vegetarian,Deluxe,Badminton,Gym,Luxury
Jennifer Walker,sara48@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",16-11-2024 12:51,Brenda Marquez,EMP440,31,001-745-554-3659x42139,Positive,HR,10,1,Inactive,$328,6,Non-Vegetarian,Suite,Table tennis,Gym,Frugal
Edward Moon,jason93@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",30-05-2024 16:14,Joshua Riddle,EMP407,45,7202885334,Neutral,Support,13,6,Inactive,$91,4,Non-Vegetarian,Suite,Swimming,Sauna,Frugal
Amy Vazquez,barnesdiamond@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",28-02-2024 22:28,James Garcia,EMP823,41,001-375-979-1441x060,Negative,Engineering,24,10,Inactive,$446,8,Non-Vegetarian,Deluxe,Swimming,Sauna,Luxury
Valerie Sellers,adamssamantha@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",29-01-2024 09:57,Donald Morales,EMP083,48,+1-307-952-8215x09626,Positive,Finance,29,5,Inactive,$200,4,Non-Vegetarian,Suite,Swimming,Massage,Frugal
Kyle Fuller,jonesveronica@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",01-10-2024 16:55,Justin Owens,EMP290,24,3039105380,Neutral,Engineering,22,9,Active,$372,9,Non-Vegetarian,Suite,Badminton,Gym,Frugal
Chelsea Nelson,landrykara@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",07-12-2024 23:01,Richard Barrera MD,EMP696,28,427-358-0539,Positive,Finance,21,1,Inactive,$484,7,Vegetarian,Standard,Swimming,Sauna,Luxury
Jared Hernandez,jose30@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",02-02-2024 01:20,Pamela Johnson,EMP412,34,001-434-747-5611x406,Neutral,Support,28,9,Inactive,$219,4,Vegan,Suite,Golf,Massage,Frugal
Krystal Clay,goodmanrodney@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",26-04-2024 08:02,Christine Rivera,EMP464,24,(894)455-1865,Neutral,HR,18,4,Active,$70,1,Non-Vegetarian,Standard,Table tennis,Sauna,Frugal
Mr. James Perez,rhodescharles@example.net,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",21-11-2024 19:14,Craig Lucas,EMP413,29,+1-457-450-0062x6616,Neutral,Support,19,10,Active,$429,1,Vegetarian,Deluxe,Swimming,Massage,Luxury
Bradley Morris,carrollgary@example.org,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",20-07-2024 22:43,John Estrada,EMP045,23,(554)208-6244x93886,Positive,Engineering,26,1,Inactive,$279,5,Vegan,Standard,Badminton,Massage,Frugal
Michael Jackson,ksmith@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",18-11-2024 22:51,James Scott,EMP350,35,214.636.4796,Neutral,Sales,27,1,Inactive,$181,2,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
Nicholas Calderon,gabrielle16@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",21-05-2024 18:30,Darlene Harris,EMP073,47,001-686-656-6984x512,Negative,Engineering,19,7,Inactive,$309,7,Vegan,Suite,Golf,Sauna,Luxury
Patricia White,jerryjohnson@example.com,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",29-11-2024 22:52,Dr. Sherry Kennedy,EMP322,38,(912)726-2709,Negative,Sales,2,10,Inactive,$487,3,Non-Vegetarian,Suite,Badminton,Sauna,Frugal
Rodney Ruiz,woodsherry@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",25-08-2024 02:20,Donald Lowe,EMP728,41,(996)360-7485x4512,Negative,Finance,10,9,Inactive,$58,4,Vegan,Standard,Golf,Gym,Frugal
Christine Green,khogan@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",05-12-2024 19:05,Chelsea May,EMP174,22,304.856.6530x146,Positive,Support,22,6,Inactive,$358,6,Non-Vegetarian,Standard,Swimming,Gym,Frugal
Stephanie Hernandez,megan04@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",13-10-2024 18:22,Jacob Phillips,EMP129,60,-2650,Negative,HR,13,6,Active,$243,8,Vegan,Suite,Golf,Sauna,Luxury
Rita Parker,tracythomas@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",22-10-2024 04:42,Sara Moore,EMP716,65,001-899-296-7017,Neutral,HR,8,4,Active,$83,2,Vegetarian,Standard,Golf,Sauna,Luxury
Denise Navarro,matthew78@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",24-11-2024 06:10,Jacob Hooper,EMP187,69,5654637799,Neutral,Engineering,11,4,Inactive,$376,8,Vegan,Suite,Golf,Massage,Luxury
Benjamin Villanueva DVM,natalie01@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",14-08-2024 03:24,John Berg,EMP252,36,(996)617-1851x9088,Negative,HR,24,9,Inactive,$203,8,Non-Vegetarian,Deluxe,Badminton,Sauna,Luxury
David Obrien,andrew93@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",27-10-2024 00:56,Angela Smith,EMP769,58,-8897,Negative,Support,9,4,Inactive,$137,1,Non-Vegetarian,Standard,Swimming,Gym,Frugal
Jennifer Wilson,dromero@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",16-05-2024 16:33,Thomas Morgan,EMP476,21,375-702-9954,Positive,Sales,27,4,Active,$461,4,Vegetarian,Standard,Badminton,Gym,Luxury
Gina Bass,dianavalenzuela@example.net,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",12-09-2024 01:58,Micheal Long,EMP906,53,001-851-305-1102x92507,Negative,HR,12,2,Active,$442,3,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
Margaret King,williamsgary@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",20-07-2024 09:14,Matthew Smith,EMP801,63,001-502-673-1938x873,Negative,Sales,8,6,Active,$464,5,Non-Vegetarian,Standard,Swimming,Sauna,Frugal
Ernest Camacho,stacey81@example.com,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",30-04-2024 08:00,Tonya Casey,EMP921,38,+1-266-632-8852x76273,Neutral,Engineering,18,10,Inactive,$177,3,Vegetarian,Suite,Swimming,Massage,Luxury
Anne Goodwin,wbryant@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",15-01-2024 06:30,Felicia Sanchez,EMP063,31,+1-466-327-3628x6921,Positive,HR,18,2,Active,$449,8,Vegetarian,Standard,Swimming,Sauna,Luxury
Michael White,bushscott@example.com,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",07-10-2024 07:16,Matthew Williams,EMP041,28,+1-723-287-3917x585,Neutral,HR,10,7,Active,$94,2,Vegetarian,Suite,Table tennis,Sauna,Frugal
Kayla Benton,ivaughn@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",15-03-2024 10:53,Karla Ritter,EMP515,28,877.325.4594x578,Neutral,Engineering,5,10,Active,$321,1,Vegan,Standard,Table tennis,Gym,Luxury
Samantha Stokes,ihart@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",19-01-2024 06:42,Kelly King,EMP171,53,279-222-4020x9069,Positive,Finance,12,10,Inactive,$306,4,Vegetarian,Suite,Table tennis,Gym,Luxury
Ryan Fletcher,brian85@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",19-03-2024 09:46,Barbara Acevedo,EMP844,23,(206)664-0883x31882,Negative,Sales,1,5,Inactive,$409,6,Vegetarian,Suite,Table tennis,Sauna,Frugal
Kendra Rodgers,fisheralexandria@example.org,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",02-04-2024 08:01,Rebecca Roman,EMP417,55,449-883-6149x295,Positive,Finance,22,2,Active,$453,5,Non-Vegetarian,Suite,Swimming,Massage,Frugal
Scott Warren,lbrooks@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",10-05-2024 15:20,Steven Bailey,EMP219,50,(232)501-3290,Negative,Finance,20,2,Active,$389,7,Vegan,Deluxe,Golf,Sauna,Luxury
Nicole Cervantes,thomas91@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",25-05-2024 16:05,Daniel Rodriguez,EMP070,58,413-531-1831x1871,Neutral,Engineering,13,4,Active,$413,10,Vegetarian,Deluxe,Golf,Massage,Luxury
Brenda Chan,brian23@example.com,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",03-06-2024 20:32,Cindy Ross,EMP183,26,735.588.5332,Negative,HR,11,7,Active,$192,1,Vegan,Deluxe,Swimming,Massage,Frugal
Christopher Moore,schwartzmallory@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",16-09-2024 13:01,Laura Rasmussen,EMP901,46,-5378,Negative,Finance,26,0,Inactive,$232,1,Vegan,Deluxe,Table tennis,Gym,Frugal
Emily Gutierrez,scottjordan@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",11-04-2024 12:35,Sherry Johnson,EMP622,29,3535993482,Positive,Support,2,8,Active,$203,5,Vegetarian,Standard,Table tennis,Gym,Luxury
Theodore Williams,matthewhenderson@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",25-01-2024 14:03,Larry Morales,EMP321,21,001-487-225-4531,Neutral,Engineering,3,6,Inactive,$219,5,Vegetarian,Standard,Golf,Massage,Luxury
Lisa Martin,xnelson@example.net,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",21-10-2024 06:27,Yvonne Higgins,EMP675,54,001-553-211-4438,Neutral,HR,16,1,Inactive,$296,3,Non-Vegetarian,Standard,Table tennis,Sauna,Luxury
Claire Carpenter,barbaravalencia@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",11-05-2024 04:50,Stephanie Russell,EMP996,51,5739419314,Negative,Support,6,9,Active,$113,1,Vegan,Standard,Table tennis,Gym,Frugal
Courtney Lopez,laurenperez@example.com,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",09-07-2024 06:13,Miranda Brown,EMP463,68,(847)489-7985,Positive,Sales,8,7,Inactive,$491,9,Non-Vegetarian,Standard,Swimming,Gym,Luxury
Cristina Petersen,rhaynes@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",17-11-2024 12:23,Kenneth Nguyen,EMP013,20,539-648-2145x83932,Negative,Support,29,0,Active,$173,6,Non-Vegetarian,Suite,Table tennis,Gym,Luxury
William Arnold,bobbygreene@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",23-01-2024 15:00,Johnny Lucas,EMP962,67,883-908-5532x5210,Negative,Sales,23,10,Inactive,$202,8,Vegan,Suite,Swimming,Gym,Luxury
Jared Stone,yjackson@example.net,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",13-03-2024 11:21,Michael Taylor,EMP364,45,001-467-799-7027x43231,Positive,Support,26,7,Inactive,$100,5,Non-Vegetarian,Suite,Swimming,Sauna,Luxury
William Cooper,emcdonald@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",05-12-2024 16:29,Sally Proctor,EMP123,25,604.363.7124x795,Neutral,Finance,24,2,Active,$316,8,Vegan,Standard,Swimming,Sauna,Luxury
Joshua Brown,michael35@example.com,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",16-01-2024 23:32,Shirley Wallace,EMP401,49,392-291-1631,Positive,Sales,1,1,Inactive,$218,3,Vegetarian,Suite,Badminton,Massage,Luxury
Alex Smith,susangarza@example.net,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",29-02-2024 22:35,Ashley Jacobson,EMP758,63,+1-781-873-2721x239,Neutral,Engineering,26,6,Active,$483,2,Vegetarian,Deluxe,Badminton,Gym,Luxury
Susan Martin,wthomas@example.net,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",29-07-2024 01:49,Alan Thompson,EMP201,49,461.799.8214x88857,Negative,Finance,12,4,Active,$322,7,Non-Vegetarian,Suite,Badminton,Sauna,Luxury
Larry Charles,hannahenglish@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",27-09-2024 07:53,Christopher Skinner,EMP907,54,+1-391-717-9010x26068,Positive,Finance,2,0,Active,$309,1,Vegan,Suite,Golf,Gym,Luxury
Jennifer Steele,solomongilbert@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",24-05-2024 08:43,Levi Peterson,EMP159,25,5394403365,Positive,HR,9,5,Inactive,$398,7,Non-Vegetarian,Deluxe,Badminton,Massage,Frugal
Wendy Martinez,riverakelsey@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",23-05-2024 03:15,Hannah Russell,EMP962,70,863.738.6074,Negative,Sales,9,9,Active,$372,5,Vegan,Deluxe,Badminton,Sauna,Luxury
Joe Johnson,robert79@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",08-05-2024 12:23,Charles Howell,EMP767,68,(956)281-0049x5869,Neutral,Sales,24,5,Active,$476,2,Vegan,Deluxe,Badminton,Gym,Frugal
Cameron Allen,gkaufman@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",02-02-2024 13:33,James Bennett,EMP377,27,+1-873-978-3446x1523,Neutral,HR,10,7,Inactive,$313,1,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
Kevin Webster,sherry94@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",13-07-2024 20:48,Margaret Edwards,EMP759,56,001-994-304-3719x219,Neutral,Support,4,7,Active,$258,4,Vegetarian,Standard,Swimming,Gym,Frugal
Linda Anderson,seth62@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",17-11-2024 16:24,Michael Davis,EMP597,47,+1-731-291-3410x0774,Negative,Engineering,10,10,Inactive,$457,4,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
Joseph White,josewilliams@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",05-04-2024 04:24,Ricky Cox,EMP950,29,387-723-7889x79191,Negative,Sales,22,10,Active,$200,3,Vegan,Suite,Swimming,Massage,Frugal
Heidi English,todd06@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",31-03-2024 10:45,Amber Irwin,EMP557,67,+1-414-600-0652x80234,Neutral,Sales,8,2,Active,$427,8,Vegan,Deluxe,Badminton,Gym,Frugal
Jennifer Campbell,kimberlyking@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",19-06-2024 14:58,Paul Rich,EMP888,29,336.442.7976x04006,Negative,Engineering,20,10,Inactive,$283,10,Non-Vegetarian,Suite,Golf,Massage,Frugal
